County,Median Age,Population
Anderson,39.4,"57,735"
Andrews,31.5,"18,705"
Angelina,37.5,"86,715"
Aransas,51.2,"23,510"
Archer,44.1,"8,553"
Armstrong,44.7,"1,887"
Atascosa,35.7,"51,153"
Austin,41.3,"30,032"
Bailey,33.6,"7,000"
Bandera,53.2,"23,112"
Bastrop,38.2,"88,723"
Baylor,43.6,"3,509"
Bee,35.2,"32,565"
Bell,31.5,"362,924"
Bexar,34,"2,003,554"
Blanco,50.1,"11,931"
Borden,49.1,654
Bosque,46.9,"18,685"
Bowie,38.3,"93,245"
Brazoria,36.1,"374,264"
Brazos,27.3,"229,211"
Brewster,44.1,"9,203"
Briscoe,46.1,"1,546"
Brooks,35.4,"7,093"
Brown,41.4,"37,864"
Burleson,44,"18,443"
Burnet,44.8,"48,155"
Caldwell,36.5,"43,664"
Calhoun,39.1,"21,290"
Callahan,43.6,"13,943"
Cameron,32.3,"423,163"
Camp,38.3,"13,094"
Carson,41.9,"5,926"
Cass,44.5,"30,026"
Castro,35,"7,530"
Chambers,35.1,"43,837"
Cherokee,38.2,"52,646"
Childress,33.6,"7,306"
Clay,47.4,"10,471"
Cochran,36.5,"2,853"
Coke,47,"3,387"
Coleman,48.8,"8,175"
Collin,37.2,"1,034,730"
Collingsworth,38.5,"2,920"
Colorado,43.1,"21,493"
Comal,41.7,"156,209"
Comanche,45.5,"13,635"
Concho,48.8,"2,726"
Cooke,40,"41,257"
Coryell,32.2,"75,951"
Cottle,44.6,"1,398"
Crane,34.1,"4,797"
Crockett,39.4,"3,464"
Crosby,38.6,"5,737"
Culberson,41.9,"2,171"
Dallam,31.6,"7,287"
Dallas,33.7,"2,635,516"
Dawson,33.7,"12,728"
Deaf Smith,31.4,"18,546"
Delta,42.1,"5,331"
Denton,36.1,"887,207"
De Witt,41.8,"20,160"
Dickens,43.4,"2,211"
Dimmit,34.9,"10,124"
Donley,43.2,"3,278"
Duval,36.5,"11,157"
Eastland,42.4,"18,360"
Ector,30.6,"166,223"
Edwards,48.7,"1,932"
Ellis,36.4,"184,826"
El Paso,32.7,"839,238"
Erath,31.6,"42,698"
Falls,39.6,"17,297"
Fannin,41.1,"35,514"
Fayette,47.9,"25,346"
Fisher,45.8,"3,830"
Floyd,38.1,"5,712"
Foard,50.2,"1,155"
Fort Bend,36.8,"811,688"
Franklin,43.4,"10,725"
Freestone,42.1,"19,717"
Frio,31.7,"20,306"
Gaines,28.3,"21,492"
Galveston,38.1,"342,139"
Garza,34.6,"6,229"
Gillespie,50.3,"26,988"
Glasscock,36.9,"1,409"
Goliad,46.2,"7,658"
Gonzales,37.2,"20,837"
Gray,37.7,"21,886"
Grayson,39.4,"136,212"
Gregg,36,"123,945"
Grimes,40.3,"28,880"
Guadalupe,37.4,"166,847"
Hale,33.4,"33,406"
