STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516.1,DATE_CUR
ALABAMA,1,100005,Albertville City,10000500871,Albertville High Sch,92,7/1/2017
ALABAMA,1,100006,Marshall County,10000600872,Asbury Sch,95,7/1/2017
ALABAMA,1,100006,Marshall County,10000600878,Douglas High Sch,85,7/1/2017
ALABAMA,1,100006,Marshall County,10000600883,Kate D Smith DAR High Sch,80,7/1/2017
ALABAMA,1,100006,Marshall County,10000601585,Brindlee Mt High Sch,85,7/1/2017
ALABAMA,1,100007,Hoover City,10000700251,Hoover High Sch,92,7/1/2017
ALABAMA,1,100007,Hoover City,10000700337,Berry Middle Sch,87,7/1/2017
ALABAMA,1,100007,Hoover City,10000701456,Spain Park High Sch,94,7/1/2017
ALABAMA,1,100008,Madison City,10000800831,Bob Jones High Sch,97,7/1/2017
ALABAMA,1,100008,Madison City,10000802198,James Clemens High School,96,7/1/2017
ALABAMA,1,100011,Leeds City,10001102096,Leeds High Sch,90,7/1/2017
ALABAMA,1,100012,Boaz City,10001200874,Boaz High Sch,80,7/1/2017
ALABAMA,1,100013,Trussville City,10001301682,Hewitt-Trussville High Sch,96,7/1/2017
ALABAMA,1,100030,Alexander City,10003000001,Alexander City Middle Sch,87,7/1/2017
ALABAMA,1,100030,Alexander City,10003000003,Benjamin Russell High Sch,90,7/1/2017
ALABAMA,1,100060,Andalusia City,10006000007,Andalusia High Sch,90,7/1/2017
ALABAMA,1,100090,Anniston City,10009000011,Anniston High Sch,75,7/1/2017
ALABAMA,1,100100,Arab City,10010000028,Arab High Sch,90,7/1/2017
ALABAMA,1,100120,Athens City,10012001472,Athens High Sch,90,7/1/2017
ALABAMA,1,100180,Attalla City,10018000033,Etowah High Sch,83,7/1/2017
ALABAMA,1,100185,Saraland City,10018502137,Saraland High Sch,92,7/1/2017
ALABAMA,1,100188,Chickasaw City,10018802194,Chickasaw City High Sch,70,7/1/2017
ALABAMA,1,100189,Satsuma City,10018902195,Satsuma City High School,85,7/1/2017
ALABAMA,1,100190,Alabaster City,10019001183,Thompson High School,97,7/1/2017
ALABAMA,1,100194,Pelham City,10019402399,Pelham High School,95,7/1/2017
ALABAMA,1,100210,Auburn City,10021000036,Auburn High Sch,89,7/1/2017
ALABAMA,1,100210,Auburn City,10021000037,Auburn Jr High Sch,50,7/1/2017
ALABAMA,1,100240,Autauga County,10024000045,Billingsley High Sch,80,7/1/2017
ALABAMA,1,100240,Autauga County,10024000046,Marbury Sch,80,7/1/2017
ALABAMA,1,100240,Autauga County,10024000048,Prattville High Sch,87,7/1/2017
ALABAMA,1,100240,Autauga County,10024001408,Autaugaville Sch,80,7/1/2017
ALABAMA,1,100270,Baldwin County,10027000024,Robertsdale High Sch,75,7/1/2017
ALABAMA,1,100270,Baldwin County,10027000100,Fairhope High Sch,91,7/1/2017
ALABAMA,1,100270,Baldwin County,10027000641,Gulf Shores High Sch,84,7/1/2017
ALABAMA,1,100270,Baldwin County,10027001713,Foley Intermediate Sch,87,7/1/2017
ALABAMA,1,100270,Baldwin County,10027001759,Daphne High Sch,92,7/1/2017
