STNAM,FIPST,LEAID,LEANM,NCESSCH,SCHNAM,ALL_RATE_1516
TEXAS,48,4800001,CROSBYTON CISD,4.8E+11,CROSBYTON SECONDARY,GE90
TEXAS,48,4800002,SPUR ISD,4.8E+11,SPUR SCHOOL,GE50
TEXAS,48,4800003,ROCKSPRINGS ISD,4.8E+11,ROCKSPRINGS H S,GE50
TEXAS,48,4800004,POR VIDA ACADEMY,4.8E+11,POR VIDA ACADEMY CHARTER H S,30-34
TEXAS,48,4800004,POR VIDA ACADEMY,4.8E+11,CORPUS CHRISTI COLLEGE PREP H S,GE80
TEXAS,48,4800004,POR VIDA ACADEMY,4.8E+11,CESAR E CHAVEZ ACADEMY,35-39
TEXAS,48,4800005,BLACKWELL CISD,4.80001E+11,BLACKWELL SCHOOL,GE50
TEXAS,48,4800006,ASPERMONT ISD,4.80001E+11,ASPERMONT H S,GE80
TEXAS,48,4800007,PANTHER CREEK CISD,4.80001E+11,PANTHER CREEK SCHOOL,GE50
TEXAS,48,4800008,DRIPPING SPRINGS ISD,4.80001E+11,DRIPPING SPRINGS H S,97
TEXAS,48,4800009,WIMBERLEY ISD,4.80001E+11,WIMBERLEY H S,GE95
TEXAS,48,4800010,HAYS CISD,4.80001E+11,JACK C HAYS H S,89
TEXAS,48,4800010,HAYS CISD,4.80001E+11,LIVE OAK ACADEMY,80-84
TEXAS,48,4800010,HAYS CISD,4.80001E+11,LEHMAN H S,86
TEXAS,48,4800011,ALVARADO ISD,4.80001E+11,ALVARADO H S,98
TEXAS,48,4800012,CHISUM ISD,4.80001E+11,CHISUM H S,GE95
TEXAS,48,4800014,GEORGE GERVIN ACADEMY,4.80001E+11,GEORGE GERVIN ACADEMY,GE80
TEXAS,48,4800016,TEXANS CAN ACADEMIES,4.80002E+11,DALLAS CAN ACADEMY CHARTER,47
TEXAS,48,4800016,TEXANS CAN ACADEMIES,4.80002E+11,DALLAS CAN ACADEMY CHARTER-OAK CLIFF,64
TEXAS,48,4800016,TEXANS CAN ACADEMIES,4.80002E+11,DALLAS CAN ACADEMY AT CARROLLTON-FARMERS BRANCH,46
TEXAS,48,4800016,TEXANS CAN ACADEMIES,4.80002E+11,DALLAS CAN ACADEMY AT PLEASANT GROVE,39
TEXAS,48,4800020,GEORGE I SANCHEZ CHARTER,4.80002E+11,GEORGE I SANCHEZ H S,80-84
TEXAS,48,4800022,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,4.80002E+11,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,90-94
TEXAS,48,4800025,DR M L GARZA-GONZALEZ CHARTER SCHOOL,4.80003E+11,DR M L GARZA-GONZALEZ CHARTER SCHOOL,GE50
TEXAS,48,4800029,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,4.80003E+11,PEGASUS CHARTER H S,GE80
TEXAS,48,4800030,UPLIFT EDUCATION,4.80003E+11,UPLIFT EDUCATION-NORTH HILLS PREP H S,GE95
TEXAS,48,4800037,BURNHAM WOOD CHARTER SCHOOL DISTRICT,4.80004E+11,DAVINCI SCHOOL FOR SCIENCE AND THE ARTS,GE80
TEXAS,48,4800041,ADVANTAGE ACADEMY,4.80004E+11,ADVANTAGE ACADEMY,GE90
TEXAS,48,4800042,RAPOPORT ACADEMY PUBLIC SCHOOL,4.80004E+11,PAUL AND JANE MEYER PUBLIC H S,GE90
TEXAS,48,4800048,RAVEN SCHOOL,4.80005E+11,RAVEN SCHOOL,14-Oct
TEXAS,48,4800054,KIPP INC CHARTER,4.80005E+11,KIPP HOUSTON H S,90-94
TEXAS,48,4800055,LIFE SCHOOL,4.80006E+11,LIFE SCHOOL OAK CLIFF,GE95
TEXAS,48,4800058,NYOS CHARTER SCHOOL,4.80006E+11,NYOS CHARTER SCHOOL,GE90
TEXAS,48,4800059,POSITIVE SOLUTIONS CHARTER SCHOOL,4.80006E+11,POSITIVE SOLUTIONS CHARTER,15-19
TEXAS,48,4800062,SCHOOL OF EXCELLENCE IN EDUCATION,4.80006E+11,MILTON B LEE ACADEMY OF SCIENCE & ENGINEERING,GE80
TEXAS,48,4800063,SOUTHWEST PREPARATORY SCHOOL,4.80006E+11,SOUTHWEST PREPARATORY SOUTHEAST CAMPUS,GE50
TEXAS,48,4800063,SOUTHWEST PREPARATORY SCHOOL,4.80006E+11,SOUTHWEST PREPARATORY SCHOOL-NORTHWEST,GE90
TEXAS,48,4800063,SOUTHWEST PREPARATORY SCHOOL,4.80006E+11,NEW DIRECTIONS,GE90
TEXAS,48,4800064,CHAPARRAL STAR ACADEMY,4.80006E+11,CHAPARRAL STAR ACADEMY,GE80
TEXAS,48,4800068,TREETOPS SCHOOL INTERNATIONAL,4.80007E+11,TREETOPS SCHOOL INTERNATIONAL,GE50
TEXAS,48,4800070,UNIVERSAL ACADEMY,4.80007E+11,UNIVERSAL ACADEMY,GE50
TEXAS,48,4800070,UNIVERSAL ACADEMY,4.80007E+11,UNIVERSAL ACADEMY - COPPELL,PS
TEXAS,48,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4.80007E+11,GEORGE M KOZMETSKY SCHOOL,PS
TEXAS,48,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4.80007E+11,ANNUNCIATION MATERNITY HOME,PS
TEXAS,48,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4.80007E+11,TNC CAMPUS (TEXAS NEUROREHABILITATION CENTER),LT50
TEXAS,48,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4.80007E+11,METHODIST CHILDREN'S HOME,PS
TEXAS,48,4800071,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,4.80007E+11,LAUREL RIDGE,PS
TEXAS,48,4800074,PINEYWOODS COMMUNITY ACADEMY,4.80007E+11,PINEYWOODS COMMUNITY ACADEMY H S,GE90
TEXAS,48,4800075,RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),4.80008E+11,RICHARD MILBURN ALTER H S (KILLEEN),25-29
TEXAS,48,4800076,PRIORITY CHARTER SCHOOLS,4.80008E+11,PRIORITY CHARTER SCHOOLS-TEMPLE CHARTER ACADEMY,GE50
TEXAS,48,4800080,RADIANCE ACADEMY OF LEARNING,4.80008E+11,RADIANCE ACADEMY OF LEARNING (DEL RIO),GE80
TEXAS,48,4800093,ACADEMY FOR ACADEMIC EXCELLENCE,4.80009E+11,DALLAS COUNTY JUVENILE JUSTICE,PS
TEXAS,48,4800093,ACADEMY FOR ACADEMIC EXCELLENCE,4.80009E+11,DRC CAMPUS,LE5
TEXAS,48,4800096,FOCUS LEARNING ACADEMY,4.8001E+11,FOCUS LEARNING ACADEMY,GE90
TEXAS,48,4800098,JEAN MASSIEU ACADEMY,4.8001E+11,JEAN MASSIEU ACADEMY,GE50
TEXAS,48,4800106,PASO DEL NORTE ACADEMY CHARTER DISTRICT,4.80011E+11,PASO DEL NORTE ACADEMY-MESA CHARTER H S,50-59
TEXAS,48,4800106,PASO DEL NORTE ACADEMY CHARTER DISTRICT,4.80011E+11,PASEO DEL NORTE ACADEMY-VISTA DEL SOL CHARTER HIGH,40-44
TEXAS,48,4800109,EAST TEXAS CHARTER SCHOOLS,4.80011E+11,DAN CHADWICK CAMPUS,80-89
TEXAS,48,4800115,HOUSTON HEIGHTS HIGH SCHOOL,4.80012E+11,HOUSTON HEIGHTS CHARTER SCHOOL,85-89
TEXAS,48,4800118,HOUSTON GATEWAY ACADEMY INC,4.80012E+11,HOUSTON GATEWAY ACADEMY - CORAL CAMPUS,80-89
TEXAS,48,4800124,CALVIN NELMS CHARTER SCHOOLS,4.80012E+11,CALVIN NELMS H S,GE90
TEXAS,48,4800125,SOUTHWEST SCHOOL,4.80013E+11,SOUTHWEST H S,GE90
TEXAS,48,4800125,SOUTHWEST SCHOOL,4.80013E+11,PHOENIX SCHOOL AT SOUTHWEST SCHOOLS,50-59
TEXAS,48,4800127,COMQUEST ACADEMY,4.80013E+11,COMQUEST ACADEMY,GE80
TEXAS,48,4800132,KATHERINE ANNE PORTER SCHOOL,4.80013E+11,KATHERINE ANNE PORTER SCHOOL,80-89
TEXAS,48,4800133,MIDVALLEY ACADEMY CHARTER DISTRICT,4.80013E+11,MIDVALLEY ACADEMY-MERCEDES CHARTER H S,60-69
TEXAS,48,4800133,MIDVALLEY ACADEMY CHARTER DISTRICT,4.80013E+11,MIDVALLEY ACADEMY-MCALLEN CHARTER H S,40-49
TEXAS,48,4800133,MIDVALLEY ACADEMY CHARTER DISTRICT,4.80013E+11,MIDVALLEY ACADEMY-SAN BENITO CHARTER H S,70-79
TEXAS,48,4800139,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,4.80014E+11,TEKOA ACADEMY OF ACCELERATED STUDIES,60-79
TEXAS,48,4800142,SOUTH PLAINS ACADEMY CHARTER DISTRICT,4.80014E+11,SOUTH PLAINS ACADEMY CHARTER H S,70-74
TEXAS,48,4800159,ERATH EXCELS ACADEMY INC,4.80016E+11,HUSTON ACADEMY,60-69
TEXAS,48,4800159,ERATH EXCELS ACADEMY INC,4.80016E+11,SHORELINE ACADEMY,PS
TEXAS,48,4800163,TEXAS COLLEGE PREPARATORY ACADEMIES,4.80016E+11,VISTA ACADEMY OF AMARILLO,GE50
TEXAS,48,4800163,TEXAS COLLEGE PREPARATORY ACADEMIES,4.80016E+11,ISCHOOL H S,GE90
TEXAS,48,4800163,TEXAS COLLEGE PREPARATORY ACADEMIES,4.80016E+11,ISCHOOL HIGH OF HICKORY CREEK,GE80
TEXAS,48,4800163,TEXAS COLLEGE PREPARATORY ACADEMIES,4.80016E+11,ISCHOOL HIGH AT UNIVERSITY PARK,GE90
TEXAS,48,4800171,RANCH ACADEMY,4.80017E+11,RANCH ACADEMY,60-69
TEXAS,48,4800174,GATEWAY ACADEMY CHARTER DISTRICT,4.80017E+11,GATEWAY ACADEMY-TOWNLAKE CHARTER H S,65-69
