STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4800001,,CROSBYTON CISD,480000000000,,CROSBYTON SECONDARY,90,7/1/2017
TEXAS,48,4800002,,SPUR ISD,480000000000,,SPUR SCHOOL,50,7/1/2017
TEXAS,48,4800003,,ROCKSPRINGS ISD,480000000000,,ROCKSPRINGS H S,50,7/1/2017
TEXAS,48,4800004,,POR VIDA ACADEMY,480000000000,,POR VIDA ACADEMY CHARTER H S,30,7/1/2017
TEXAS,48,4800004,,POR VIDA ACADEMY,480000000000,,CORPUS CHRISTI COLLEGE PREP H S,80,7/1/2017
TEXAS,48,4800004,,POR VIDA ACADEMY,480000000000,,CESAR E CHAVEZ ACADEMY,35,7/1/2017
TEXAS,48,4800005,,BLACKWELL CISD,480000000000,,BLACKWELL SCHOOL,50,7/1/2017
TEXAS,48,4800006,,ASPERMONT ISD,480000000000,,ASPERMONT H S,80,7/1/2017
TEXAS,48,4800007,,PANTHER CREEK CISD,480000000000,,PANTHER CREEK SCHOOL,50,7/1/2017
TEXAS,48,4800008,,DRIPPING SPRINGS ISD,480000000000,,DRIPPING SPRINGS H S,97,7/1/2017
TEXAS,48,4800009,,WIMBERLEY ISD,480000000000,,WIMBERLEY H S,95,7/1/2017
TEXAS,48,4800010,,HAYS CISD,480000000000,,JACK C HAYS H S,89,7/1/2017
TEXAS,48,4800010,,HAYS CISD,480000000000,,LIVE OAK ACADEMY,80,7/1/2017
TEXAS,48,4800010,,HAYS CISD,480000000000,,LEHMAN H S,86,7/1/2017
TEXAS,48,4800011,,ALVARADO ISD,480000000000,,ALVARADO H S,98,7/1/2017
TEXAS,48,4800012,,CHISUM ISD,480000000000,,CHISUM H S,95,7/1/2017
TEXAS,48,4800014,,GEORGE GERVIN ACADEMY,480000000000,,GEORGE GERVIN ACADEMY,80,7/1/2017
TEXAS,48,4800016,,TEXANS CAN ACADEMIES,480000000000,,DALLAS CAN ACADEMY CHARTER,47,7/1/2017
TEXAS,48,4800016,,TEXANS CAN ACADEMIES,480000000000,,DALLAS CAN ACADEMY CHARTER-OAK CLIFF,64,7/1/2017
TEXAS,48,4800016,,TEXANS CAN ACADEMIES,480000000000,,DALLAS CAN ACADEMY AT CARROLLTON-FARMERS BRANCH,46,7/1/2017
TEXAS,48,4800016,,TEXANS CAN ACADEMIES,480000000000,,DALLAS CAN ACADEMY AT PLEASANT GROVE,39,7/1/2017
TEXAS,48,4800020,,GEORGE I SANCHEZ CHARTER,480000000000,,GEORGE I SANCHEZ H S,80,7/1/2017
TEXAS,48,4800022,,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,480000000000,,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,90,7/1/2017
TEXAS,48,4800025,,DR M L GARZA-GONZALEZ CHARTER SCHOOL,480000000000,,DR M L GARZA-GONZALEZ CHARTER SCHOOL,50,7/1/2017
