STNAM,FIPST,LEAID,ST_LEAID,LEANM,ST_SCHID,SCHNAM,ALL_RATE_1617
TEXAS,48,4800001,TX-054901,CROSBYTON CISD,TX-054901-054901001,CROSBYTON SECONDARY,GE80
TEXAS,48,4800002,TX-063903,SPUR ISD,TX-063903-063903001,SPUR SCHOOL,GE80
TEXAS,48,4800003,TX-069901,ROCKSPRINGS ISD,TX-069901-069901001,ROCKSPRINGS K-12,GE80
TEXAS,48,4800004,TX-015801,POR VIDA ACADEMY,TX-015801-015801001,POR VIDA ACADEMY CHARTER H S,35-39
TEXAS,48,4800004,TX-015801,POR VIDA ACADEMY,TX-015801-015801002,CORPUS CHRISTI COLLEGE PREP H S,GE80
TEXAS,48,4800004,TX-015801,POR VIDA ACADEMY,TX-015801-015801003,CESAR E CHAVEZ ACADEMY,30-34
TEXAS,48,4800005,TX-177903,BLACKWELL CISD,TX-177903-177903001,BLACKWELL SCHOOL,GE50
TEXAS,48,4800006,TX-217901,ASPERMONT ISD,TX-217901-217901001,ASPERMONT H S,GE80
TEXAS,48,4800007,TX-042905,PANTHER CREEK CISD,TX-042905-042905001,PANTHER CREEK SCHOOL,GE50
TEXAS,48,4800008,TX-105904,DRIPPING SPRINGS ISD,TX-105904-105904001,DRIPPING SPRINGS H S,98
TEXAS,48,4800009,TX-105905,WIMBERLEY ISD,TX-105905-105905001,WIMBERLEY H S,GE95
TEXAS,48,4800010,TX-105906,HAYS CISD,TX-105906-105906001,JACK C HAYS H S,88
TEXAS,48,4800010,TX-105906,HAYS CISD,TX-105906-105906004,LIVE OAK ACADEMY,90-94
TEXAS,48,4800010,TX-105906,HAYS CISD,TX-105906-105906005,LEHMAN H S,84
TEXAS,48,4800011,TX-126901,ALVARADO ISD,TX-126901-126901001,ALVARADO H S,96
TEXAS,48,4800012,TX-139905,CHISUM ISD,TX-139905-139905001,CHISUM H S,GE95
TEXAS,48,4800014,TX-015802,GEORGE GERVIN ACADEMY,TX-015802-015802001,GEORGE GERVIN ACADEMY,GE80
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804001,DALLAS CAN ACADEMY CHARTER,62
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804002,DALLAS CAN ACADEMY CHARTER-OAK CLIFF,69
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804009,HOUSTON CAN ACADEMY - NORTH,45
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804011,SAN ANTONIO CAN ACADEMY,40-44
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804007,FORT WORTH CAN ACADEMY WESTCREEK,43
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804008,FORT WORTH CAN ACADEMY LANCASTER AVENUE,31
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804006,AUSTIN CAN ACADEMY,72
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804003,DALLAS CAN ACADEMY AT CARROLLTON-FARMERS BRANCH,35-39
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804010,HOUSTON CAN ACADEMY - HOBBY,33
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804004,DALLAS CAN ACADEMY AT PLEASANT GROVE,45
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,TX-057804-057804005,DALLAS CAN ACADEMY - GRANT EAST,44
TEXAS,48,4800020,TX-101804,GEORGE I SANCHEZ CHARTER,TX-101804-101804001,GEORGE I SANCHEZ H S,75-79
