STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE,DATE_CUR
TEXAS,48,4800001,TX-054901,CROSBYTON CISD,480000000000,TX-054901-054901001,CROSBYTON SECONDARY,80,9/23/2019 0:00
TEXAS,48,4800002,TX-063903,SPUR ISD,480000000000,TX-063903-063903001,SPUR SCHOOL,80,9/23/2019 0:00
TEXAS,48,4800003,TX-069901,ROCKSPRINGS ISD,480000000000,TX-069901-069901001,ROCKSPRINGS K-12,80,9/23/2019 0:00
TEXAS,48,4800004,TX-015801,POR VIDA ACADEMY,480000000000,TX-015801-015801001,POR VIDA ACADEMY CHARTER H S,35,9/23/2019 0:00
TEXAS,48,4800004,TX-015801,POR VIDA ACADEMY,480000000000,TX-015801-015801002,CORPUS CHRISTI COLLEGE PREP H S,80,9/23/2019 0:00
TEXAS,48,4800004,TX-015801,POR VIDA ACADEMY,480000000000,TX-015801-015801003,CESAR E CHAVEZ ACADEMY,35,9/23/2019 0:00
TEXAS,48,4800005,TX-177903,BLACKWELL CISD,480001000000,TX-177903-177903001,BLACKWELL SCHOOL,50,9/23/2019 0:00
TEXAS,48,4800006,TX-217901,ASPERMONT ISD,480001000000,TX-217901-217901001,ASPERMONT H S,50,9/23/2019 0:00
TEXAS,48,4800007,TX-042905,PANTHER CREEK CISD,480001000000,TX-042905-042905001,PANTHER CREEK SCHOOL,80,9/23/2019 0:00
TEXAS,48,4800008,TX-105904,DRIPPING SPRINGS ISD,480001000000,TX-105904-105904001,DRIPPING SPRINGS H S,98,9/23/2019 0:00
TEXAS,48,4800009,TX-105905,WIMBERLEY ISD,480001000000,TX-105905-105905001,WIMBERLEY H S,95,9/23/2019 0:00
TEXAS,48,4800010,TX-105906,HAYS CISD,480001000000,TX-105906-105906001,JACK C HAYS H S,90,9/23/2019 0:00
TEXAS,48,4800010,TX-105906,HAYS CISD,480001000000,TX-105906-105906004,LIVE OAK ACADEMY,90,9/23/2019 0:00
TEXAS,48,4800010,TX-105906,HAYS CISD,480001000000,TX-105906-105906005,LEHMAN H S,86,9/23/2019 0:00
TEXAS,48,4800011,TX-126901,ALVARADO ISD,480001000000,TX-126901-126901001,ALVARADO H S,95,9/23/2019 0:00
TEXAS,48,4800012,TX-139905,CHISUM ISD,480001000000,TX-139905-139905001,CHISUM H S,95,9/23/2019 0:00
TEXAS,48,4800014,TX-015802,GEORGE GERVIN ACADEMY,480001000000,TX-015802-015802001,GEORGE GERVIN ACADEMY,90,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804001,DALLAS CAN ACADEMY CHARTER,47,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804002,DALLAS CAN ACADEMY CHARTER-OAK CLIFF,62,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804009,HOUSTON CAN ACADEMY - NORTH,39,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804011,SAN ANTONIO CAN ACADEMY,45,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804007,FORT WORTH CAN ACADEMY WESTCREEK,45,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804008,FORT WORTH CAN ACADEMY LANCASTER AVENUE,31,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804006,AUSTIN CAN ACADEMY,43,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804003,DALLAS CAN ACADEMY AT CARROLLTON-FARMERS BRANCH,45,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804010,HOUSTON CAN ACADEMY - HOBBY,25,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804004,DALLAS CAN ACADEMY AT PLEASANT GROVE,37,9/23/2019 0:00
TEXAS,48,4800016,TX-057804,TEXANS CAN ACADEMIES,480002000000,TX-057804-057804005,DALLAS CAN ACADEMY - GRANT EAST,42,9/23/2019 0:00
TEXAS,48,4800020,TX-101804,GEORGE I SANCHEZ CHARTER,480002000000,TX-101804-101804001,GEORGE I SANCHEZ H S,75,9/23/2019 0:00
TEXAS,48,4800022,TX-101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,480002000000,TX-101806-101806001,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,90,9/23/2019 0:00
TEXAS,48,4800025,TX-178801,DR M L GARZA-GONZALEZ CHARTER SCHOOL,480003000000,TX-178801-178801001,DR M L GARZA-GONZALEZ CHARTER SCHOOL,87,9/23/2019 0:00
TEXAS,48,4800029,TX-057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,480003000000,TX-057802-057802001,PEGASUS CHARTER H S,80,9/23/2019 0:00
TEXAS,48,4800030,TX-057803,UPLIFT EDUCATION,480003000000,TX-057803-057803002,UPLIFT EDUCATION-NORTH HILLS PREP H S,95,9/23/2019 0:00
TEXAS,48,4800037,TX-071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,480004000000,TX-071801-071801003,DAVINCI SCHOOL FOR SCIENCE AND THE ARTS,80,9/23/2019 0:00
TEXAS,48,4800041,TX-057806,ADVANTAGE ACADEMY,480004000000,TX-057806-057806101,ADVANTAGE ACADEMY,80,9/23/2019 0:00
TEXAS,48,4800042,TX-161802,RAPOPORT ACADEMY PUBLIC SCHOOL,480004000000,TX-161802-161802001,PAUL AND JANE MEYER PUBLIC H S,90,9/23/2019 0:00
TEXAS,48,4800044,TX-227803,WAYSIDE SCHOOLS,480004000000,TX-227803-227803001,SCI-TECH PREPARATORY,80,9/23/2019 0:00
TEXAS,48,4800048,TX-236801,RAVEN SCHOOL,480005000000,TX-236801-236801001,THOMAS BUZBEE VOCATIONAL SCHOOL,15,9/23/2019 0:00
TEXAS,48,4800049,TX-101811,EXCEL ACADEMY,480005000000,TX-101811-101811004,HARRIS COUNTY YOUTH VILLAGE,87,9/23/2019 0:00
TEXAS,48,4800053,TX-015808,INSPIRE ACADEMIES,480005000000,TX-015808-015808003,JHW INSPIRE ACADEMY - HAYS COUNTY,87,9/23/2019 0:00
