STNAM,FIPST,LEAID,ST_LEAID,LEANM,NCESSCH,ST_SCHID,SCHNAM,ALL_RATE_1718.1,DATE_CUR
ALABAMA,1,100005,AL-101,Albertville City,10000500871,AL-101-0020,Albertville High School,94,9/23/2019
ALABAMA,1,100006,AL-048,Marshall County,10000600872,AL-048-0030,Asbury High School,90,9/23/2019
ALABAMA,1,100006,AL-048,Marshall County,10000600878,AL-048-0100,Douglas High School,85,9/23/2019
ALABAMA,1,100006,AL-048,Marshall County,10000600883,AL-048-0140,Kate D Smith DAR High School,95,9/23/2019
ALABAMA,1,100006,AL-048,Marshall County,10000601585,AL-048-0042,Brindlee Mountain High School,85,9/23/2019
ALABAMA,1,100007,AL-158,Hoover City,10000700251,AL-158-0400,Hoover High School,93,9/23/2019
ALABAMA,1,100007,AL-158,Hoover City,10000701456,AL-158-0010,Spain Park High School,96,9/23/2019
ALABAMA,1,100008,AL-169,Madison City,10000800831,AL-169-0080,Bob Jones High School,97,9/23/2019
ALABAMA,1,100008,AL-169,Madison City,10000802198,AL-169-0095,James Clemens High School,95,9/23/2019
ALABAMA,1,100011,AL-167,Leeds City,10001102096,AL-167-0030,Leeds High School,95,9/23/2019
ALABAMA,1,100012,AL-115,Boaz City,10001200874,AL-115-0060,Boaz High School,90,9/23/2019
ALABAMA,1,100013,AL-205,Trussville City,10001301682,AL-205-0890,HewittTrussville High School,97,9/23/2019
ALABAMA,1,100030,AL-102,Alexander City,10003000003,AL-102-0020,Benjamin Russell High School,89,9/23/2019
ALABAMA,1,100060,AL-104,Andalusia City,10006000007,AL-104-0010,Andalusia High School,95,9/23/2019
ALABAMA,1,100090,AL-105,Anniston City,10009000011,AL-105-0010,Anniston High School,75,9/23/2019
ALABAMA,1,100100,AL-106,Arab City,10010000028,AL-106-0020,Arab High School,90,9/23/2019
ALABAMA,1,100120,AL-107,Athens City,10012001472,AL-107-0030,Athens High School,90,9/23/2019
ALABAMA,1,100120,AL-107,Athens City,10012002417,AL-107-0025,Athens Renaissance School,80,9/23/2019
ALABAMA,1,100180,AL-109,Attalla City,10018000033,AL-109-0025,Etowah High School,90,9/23/2019
ALABAMA,1,100185,AL-187,Saraland City,10018502137,AL-187-0635,Saraland High School,95,9/23/2019
ALABAMA,1,100188,AL-121,Chickasaw City,10018802194,AL-121-0020,Chickasaw City High School,80,9/23/2019
ALABAMA,1,100189,AL-196,Satsuma City,10018902195,AL-196-0020,Satsuma High School,95,9/23/2019
ALABAMA,1,100190,AL-103,Alabaster City,10019001183,AL-103-0050,Thompson High School,97,9/23/2019
ALABAMA,1,100194,AL-177,Pelham City,10019402399,AL-177-0085,Pelham High School,93,9/23/2019
ALABAMA,1,100197,AL-800,Acceleration Day and Evening Academy,10019702432,AL-800-0010,Acceleration Day and Evening Academy,60,9/23/2019
ALABAMA,1,100210,AL-110,Auburn City,10021000036,AL-110-0010,Auburn High School,95,9/23/2019
ALABAMA,1,100240,AL-001,Autauga County,10024000045,AL-001-0040,Billingsley High School,80,9/23/2019
ALABAMA,1,100240,AL-001,Autauga County,10024000046,AL-001-0050,Marbury High School,90,9/23/2019
ALABAMA,1,100240,AL-001,Autauga County,10024000048,AL-001-0086,Prattville High School,90,9/23/2019
ALABAMA,1,100240,AL-001,Autauga County,10024001408,AL-001-0015,Autaugaville School,80,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027000024,AL-002-0117,Robertsdale High School,81,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027000100,AL-002-0065,Fairhope High School,93,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027000641,AL-002-0089,Gulf Shores High School,87,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027001759,AL-002-0035,Daphne High School,95,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027001784,AL-002-0083,Foley High School,84,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027001810,AL-002-0005,Baldwin County High School,84,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027002073,AL-002-0145,Spanish Fort High School,93,9/23/2019
ALABAMA,1,100270,AL-002,Baldwin County,10027002443,AL-002-0185,Baldwin County Virtual School,95,9/23/2019
ALABAMA,1,100300,AL-003,Barbour County,10030000074,AL-003-0020,Barbour County High School,70,9/23/2019
ALABAMA,1,100330,AL-113,Bessemer City,10033000087,AL-113-0080,Bessemer City High School,77,9/23/2019
ALABAMA,1,100360,AL-004,Bibb County,10036000092,AL-004-0010,Bibb County High School,85,9/23/2019
ALABAMA,1,100360,AL-004,Bibb County,10036000099,AL-004-0080,West Blocton High School,90,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039000141,AL-114-0390,Huffman High SchoolMagnet,80,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039000164,AL-114-0415,JacksonOlin High School,71,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039000165,AL-114-0630,Parker High School,72,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039000176,AL-114-0720,Ramsay High School,99,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039000192,AL-114-0858,Wenonah High School,75,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039000198,AL-114-0920,Woodlawn High SchoolMagnet,75,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039001468,AL-114-0095,George Washington Carver High School,83,9/23/2019
ALABAMA,1,100390,AL-114,Birmingham City,10039001761,AL-114-0235,Family Court High School,20,9/23/2019
ALABAMA,1,100420,AL-005,Blount County,10042000203,AL-005-0020,Appalachian  School,90,9/23/2019
ALABAMA,1,100420,AL-005,Blount County,10042000206,AL-005-0040,Cleveland High School,95,9/23/2019
ALABAMA,1,100420,AL-005,Blount County,10042000208,AL-005-0050,Hayden High School,95,9/23/2019
